
     Clock   Core cyc   Instruct       Uops   res.stl.   L1D Miss   CodeMiss 
   1082440     420124     491778     611074     130990        299          0 
    233420     233419     491522     540674     102300          3          0 
    233544     233546     491522     540674     102428          1          0 
    233476     233478     491522     540674     102355          1          0 
    233584     233586     491522     540674     102471          1          0 
    233380     233381     491522     540674     102255          1          0 
    233612     233614     491522     540674     102493          1          0 
    233272     233275     491522     540674     102152          1          0 
    233432     233431     491522     540674     102312          1          0 
    233512     233517     491522     540674     102396          1          0 
    233296     233296     491522     540674     102175          1          0 
    233500     233502     491522     540674     102382          1          0 
    233388     233388     491522     540674     102271          1          0 
    233328     233333     491522     540674     102214          1          0 
    233376     233375     491522     540674     102258          1          0 
    284068     234520     491523     540874     102338         16          3 
    233424     233427     491522     540674     102276          1          0 
    233472     233472     491522     540674     102355          1          0 
    233408     233410     491522     540674     102286          1          0 
    233412     233410     491522     540674     102288          1          0 
    233336     233339     491522     540674     102213          1          0 
    233368     233366     491522     540674     102247          1          0 
    233288     233290     491522     540674     102166          1          0 
    233392     233393     491522     540674     102276          1          0 
    233536     233539     491522     540674     102416          1          0 
    233464     233466     491522     540674     102344          1          0 
    233200     233202     491522     540674     102082          1          0 
    233276     233276     491522     540674     102155          1          0 
    233376     233378     491522     540674     102254          1          0 
    233472     233473     491522     540674     102356          1          0 
    233584     233587     491522     540674     102459          1          0 
    233452     233455     491522     540674     102335          1          0 
    233304     233307     491522     540674     102184          1          0 
    233464     233466     491522     540674     102344          1          0 
    233200     233202     491522     540674     102082          1          0 
    233464     233465     491522     540674     102343          1          0 
    233376     233378     491522     540674     102254          1          0 
    233148     233146     491522     540674     102029          1          0 
    233448     233448     491522     540674     102325          1          0 
    233392     233394     491522     540674     102275          1          0 
    233344     233349     491522     540674     102227          0          0 
    233328     233329     491522     540674     102212          0          0 
    233544     233546     491522     540674     102422          0          0 
    233276     233276     491522     540674     102157          0          0 
    233540     233541     491522     540674     102415          0          0 
    233308     233310     491522     540674     102189          0          0 
    233196     233196     491522     540674     102072          0          0 
    233296     233296     491522     540674     102174          0          0 
    233140     233142     491522     540674     102016          0          0 
    233384     233384     491522     540674     102264          0          0 
    233516     233519     491522     540674     102399          0          0 
    233568     233567     491522     540674     102453          0          0 
    233404     233407     491522     540674     102285          0          0 
    233340     233339     491522     540674     102220          0          0 
    233412     233415     491522     540674     102289          0          0 
    233172     233172     491522     540674     102048          0          0 
    233348     233349     491522     540674     102227          0          0 
    233308     233307     491522     540674     102188          0          0 
    233408     233410     491522     540674     102283          0          0 
    233124     233124     491522     540674     102006          0          0 
    233344     233349     491522     540674     102227          0          0 
    233308     233307     491522     540674     102188          0          0 
    233408     233410     491522     540674     102283          0          0 
    233124     233124     491522     540674     102006          0          0 
    233344     233349     491522     540674     102227          0          0 
    233308     233305     491522     540674     102184          0          0 
    233344     233344     491522     540674     102223          0          0 
    233340     233341     491522     540674     102223          0          0 
    233360     233362     491522     540674     102239          0          0 
    233392     233391     491522     540674     102271          0          0 
    233332     233335     491522     540674     102212          0          0 
    242272     234128     491523     540874     102343          4          0 
    233376     233378     491522     540674     102256          1          0 
    233472     233473     491522     540674     102348          1          0 
    233420     233422     491522     540674     102305          1          0 
    233324     233323     491522     540674     102199          1          0 
    233248     233248     491522     540674     102131          1          0 
    233420     233423     491522     540674     102299          1          0 
    233484     233482     491522     540674     102361          1          0 
    233432     233435     491522     540674     102311          1          0 
    233368     233365     491522     540674     102248          1          0 
    233260     233260     491522     540674     102136          1          0 
    233468     233469     491522     540674     102347          1          0 
    233304     233308     491522     540674     102189          1          0 
    233596     233597     491522     540674     102475          1          0 
    233436     233439     491522     540674     102319          1          0 
    233468     233469     491522     540674     102347          1          0 
    233308     233312     491522     540674     102189          1          0 
    233568     233570     491522     540674     102451          1          0 
    233436     233439     491522     540674     102319          1          0 
    233468     233469     491522     540674     102347          1          0 
    233268     233269     491522     540674     102145          1          0 
    233640     233639     491522     540674     102519          1          0 
    233548     233551     491522     540674     102430          1          0 
    233568     233565     491522     540674     102443          1          0 
    233880     233882     491522     540674     102761          1          0 
    233276     233276     491522     540674     102157          1          0 
    234108     234110     491522     540674     102987          1          0 
    233540     233541     491522     540706     102245          1          0 
    233736     233737     491522     540706     102434          1          0 
    233616     233616     491522     540706     102297          1          0 
    233920     233923     491522     540738     102445          1          0 
    233432     233433     491522     540674     102313          1          0 
    233440     233442     491522     540674     102312          1          0 
    235508     235512     491522     540706     104209          1          0 
